Overall summary by type:
  % time  type
    2.63  C++
   20.05  Common code under Vtop
    1.13  VLib
   76.46  Verilog Blocks under Vtop
   -0.27  Unaccounted for/rounding error

Overall summary by design:
  % time  design
    2.63  C++
    1.13  VLib
   96.51  Vtop
   -0.27  Unaccounted for/rounding error

Overall summary by module:
  % time  module
    8.67  ALU
    3.06  AXI4SRAM
    2.63  C++
    3.43  CLINT
    0.77  CSR
    0.16  CacheArbiter
    1.81  Crossbar
   10.55  DCache
    0.12  DeviceArbiter
   10.01  EXU
    1.76  GPR
    4.25  ICache
    1.62  ICacheRAM
    6.87  IDU
    1.88  IFU
    0.20  LFSR_8
    0.40  LSU
    0.14  Pre_Decode
    3.60  S011HD1P_X32Y2D128_BW
    1.13  VLib
   20.05  Vtop common code
    1.62  WBU
    5.52  base_mul
    5.64  div
    0.04  ebreak
    0.10  itrace
    0.66  memory
    0.08  mul
    0.05  print_csr
    0.03  print_gpr
    3.42  top
   -0.27  Unaccounted for/rounding error

Verilog code profile:
   These are split into three categories:
      C++:     Time in non-Verilated C++ code
      Prof:    Time in profile overhead
      VBlock:  Time attributable to a block in a Verilog file and line
      VCommon: Time in a Verilated module, due to all parts of the design
      VLib:    Time in Verilated common libraries, called by the Verilated code

  %   cumulative   self              
 time   seconds   seconds      calls   design  type      filename and line number
  9.11      4.83     4.83   24921599   Vtop  VCommon   Vtop___024root___eval_nba(Vtop___024root*)
  5.52      7.76     2.93  261676809   Vtop  VCommon   Vtop::traceConfig() const
  3.17      9.44     1.68   24921600   Vtop  VCommon   Vtop___024root___eval(Vtop___024root*)
  3.03     11.04     1.60   12460800   Vtop  VBlock    EXU:408
  2.63     12.44     1.40   37382401   Vtop  VBlock    div:81
  2.27     13.66     1.22   49843200   Vtop  VBlock    S011HD1P_X32Y2D128_BW:24
  1.84     14.64     0.98   24921602   Vtop  VBlock    ALU:64
  1.65     15.52     0.88   24921602   Vtop  VBlock    ALU:55
  1.62     16.39     0.87   37382401   Vtop  VBlock    ICacheRAM:91
  1.55     17.21     0.82   24921600   Vtop  VBlock    top:577
  1.37     17.93     0.72   62304005   Vtop  VBlock    ALU:38
  1.32     18.63     0.70   24921600   -     C++       VlDeleter::deleteAll()
  1.28     19.31     0.68   12460801   Vtop  VBlock    base_mul:46
  1.25     19.98     0.67   12460800   Vtop  VBlock    DCache:348
  1.13     20.58     0.60   24921600   Vtop  VBlock    DCache:250
  1.04     21.13     0.55   12460801   Vtop  VBlock    ALU:43
  1.00     21.66     0.53   37382401   Vtop  VBlock    base_mul:49
  0.98     22.18     0.52   24921600   Vtop  VCommon   Vtop::eval_step()
  0.96     22.69     0.51   24921602   Vtop  VBlock    ALU:53
  0.96     23.20     0.51   24921602   Vtop  VBlock    IDU:152
  0.84     23.65     0.45   12460801   Vtop  VBlock    base_mul:55
  0.81     24.08     0.43   12460801   Vtop  VBlock    base_mul:39
  0.78     24.49     0.41   37382401   Vtop  VBlock    div:80
  0.76     24.90     0.41   12460801   Vtop  VBlock    div:48
  0.75     25.30     0.40   12460800   Vtop  VBlock    GPR:271
  0.74     25.69     0.39   24921600   Vtop  VBlock    base_mul:85
  0.70     26.06     0.37   12460801   Vtop  VBlock    ALU:54
  0.66     26.41     0.35   12460799   Vtop  VBlock    memory:5
  0.63     26.75     0.34   24921602   Vtop  VBlock    S011HD1P_X32Y2D128_BW:20
  0.62     27.08     0.33   12460801   Vtop  VBlock    DCache:215
  0.61     27.41     0.33   12460800   Vtop  VBlock    DCache:388
  0.61     27.73     0.32   24921602   Vtop  VBlock    IDU:145
  0.58     28.04     0.31   12460801   Vtop  VBlock    base_mul:45
  0.55     28.33     0.29   24921600   Vtop  VBlock    IFU:49
  0.51     28.60     0.27   24921600   Vtop  VBlock    IFU:40
  0.51     28.87     0.27   12460801   Vtop  VBlock    ALU:72
  0.49     29.13     0.26   24921600   Vtop  VCommon   Vtop___024root___eval_ico(Vtop___024root*)
  0.49     29.39     0.26   12460801   Vtop  VBlock    DCache:219
  0.49     29.65     0.26   12460800   -     C++       step_and_dump_wave()
  0.47     29.90     0.25   12460801   Vtop  VBlock    IDU:118
  0.46     30.14     0.24   74764798   Vtop  VCommon   Vtop___024root___eval_triggers__act(Vtop___024root*)
  0.45     30.38     0.24   24921600   -     VLib      VerilatedEvalMsgQueue::process()
  0.43     30.61     0.23  211824556   -     VLib      vl_rand64()
  0.42     30.84     0.23   12460800   Vtop  VBlock    CSR:86
  0.41     31.06     0.22   49843200   Vtop  VBlock    ICache:56
  0.41     31.28     0.22   12460800   Vtop  VBlock    ICache:171
  0.41     31.49     0.21   37382401   Vtop  VBlock    DCache:178
  0.40     31.70     0.21   12460800   Vtop  VBlock    CLINT:119
  0.40     31.91     0.21   12460800   Vtop  VBlock    ICache:217
  0.39     32.11     0.20   12460801   Vtop  VBlock    Crossbar:542
  0.39     32.31     0.20   12460800   Vtop  VBlock    ICache:235
  0.38     32.51     0.20   12460801   Vtop  VBlock    DCache:201
  0.37     32.71     0.20   12460800   Vtop  VBlock    EXU:403
  0.36     32.90     0.19   37382401   Vtop  VBlock    CLINT:58
  0.33     33.08     0.18   74764802   Vtop  VBlock    DCache:272
  0.35     33.26     0.18   49843200   Vtop  VBlock    S011HD1P_X32Y2D128_BW:27
  0.33     33.43     0.17   37382401   Vtop  VBlock    AXI4SRAM:93
  0.33     33.60     0.17   12460801   Vtop  VBlock    Crossbar:541
  0.32     33.77     0.17   12460801   Vtop  VBlock    EXU:119
  0.32     33.94     0.17   12460800   Vtop  VBlock    DCache:501
  0.31     34.11     0.17   12460801   Vtop  VBlock    EXU:148
  0.30     34.27     0.16   12460801   Vtop  VBlock    EXU:363
  0.30     34.43     0.16   12460800   Vtop  VBlock    CLINT:185
  0.29     34.58     0.15   12460801   Vtop  VBlock    GPR:201
  0.29     34.73     0.15   12460800   Vtop  VBlock    IFU:84
  0.29     34.88     0.15   12460799   -     C++       exec_once()
  0.28     35.03     0.15   37382401   Vtop  VBlock    DCache:274
  0.28     35.18     0.15   24921600   Vtop  VBlock    Crossbar:126
  0.28     35.33     0.15   12460801   Vtop  VBlock    EXU:159
  0.29     35.48     0.15   12460801   Vtop  VBlock    ICache:192
  0.27     35.62     0.14   12460801   Vtop  VBlock    ICache:62
  0.27     35.76     0.14   12460800   Vtop  VBlock    CLINT:129
  0.26     35.90     0.14   12460800   Vtop  VBlock    EXU:413
  0.26     36.04     0.14   12460800   Vtop  VBlock    DCache:290
  0.26     36.18     0.14   12460800   Vtop  VBlock    AXI4SRAM:157
  0.25     36.32     0.14   37382401   Vtop  VBlock    top:662
  0.27     36.46     0.14   37382403   Vtop  VBlock    DCache:136
  0.27     36.60     0.14   49843200   Vtop  VBlock    S011HD1P_X32Y2D128_BW:25
  0.25     36.73     0.13   37382401   Vtop  VBlock    DCache:110
  0.25     36.86     0.13   37382401   Vtop  VBlock    DCache:109
  0.25     36.99     0.13   12460801   Vtop  VBlock    GPR:160
  0.25     37.12     0.13   12460801   Vtop  VBlock    IDU:115
  0.25     37.25     0.13   12460800   Vtop  VBlock    CLINT:159
  0.24     37.37     0.12   12460800   Vtop  VBlock    EXU:441
  0.23     37.49     0.12   49843200   Vtop  VBlock    ICache:89
  0.23     37.61     0.12   12460801   Vtop  VBlock    ALU:104
  0.23     37.73     0.12   12460801   Vtop  VBlock    AXI4SRAM:119
  0.23     37.85     0.12   12460800   Vtop  VBlock    EXU:424
  0.22     37.97     0.12   37382401   Vtop  VBlock    AXI4SRAM:86
  0.22     38.09     0.12   12460801   Vtop  VBlock    top:565
  0.22     38.21     0.12   12460801   Vtop  VBlock    ICache:68
  0.21     38.32     0.11   37382401   Vtop  VBlock    top:653
  0.21     38.43     0.11   12460801   Vtop  VBlock    ALU:120
  0.21     38.54     0.11   12460800   Vtop  VBlock    div:94
  0.21     38.65     0.11   12460800   Vtop  VBlock    div:104
  0.21     38.76     0.11   12460800   Vtop  VBlock    EXU:388
  0.21     38.87     0.11   12460800   Vtop  VBlock    CLINT:170
  0.21     38.98     0.11   12460800   Vtop  VBlock    ICache:158
  0.21     39.09     0.11   12460799   Vtop  VCommon   Vtop___024unit____Vdpiimwrap_pmem_read_TOP____024unit(unsigned int, unsigned long&)
  0.20     39.19     0.10   37382401   Vtop  VBlock    CLINT:84
  0.20     39.29     0.10   37382401   Vtop  VBlock    AXI4SRAM:46
  0.20     39.39     0.10   24921602   Vtop  VBlock    DCache:188
  0.19     39.49     0.10   24921600   Vtop  VBlock    EXU:254
  0.19     39.59     0.10   12460801   Vtop  VBlock    IDU:80
  0.19     39.69     0.10   12460801   Vtop  VBlock    IFU:71
  0.19     39.79     0.10   12460801   Vtop  VBlock    GPR:191
  0.19     39.89     0.10   12460801   Vtop  VBlock    EXU:160
  0.19     39.99     0.10   12460801   Vtop  VBlock    DCache:127
  0.19     40.09     0.10   12460800   Vtop  VBlock    WBU:89
  0.18     40.19     0.10   37382401   Vtop  VBlock    AXI4SRAM:52
  0.18     40.29     0.10   12460801   Vtop  VBlock    EXU:151
  0.18     40.39     0.10   12460801   Vtop  VBlock    EXU:164
  0.18     40.49     0.10   12460801   Vtop  VBlock    ICache:84
  0.18     40.59     0.10   12460801   Vtop  VBlock    AXI4SRAM:75
  0.18     40.69     0.10   12460800   Vtop  VBlock    WBU:92
  0.18     40.79     0.10   24921602   Vtop  VBlock    ICache:66
  0.17     40.88     0.09   37382401   Vtop  VBlock    DCache:160
  0.17     40.97     0.09   37382401   Vtop  VBlock    DCache:169
  0.17     41.06     0.09   37382401   Vtop  VBlock    AXI4SRAM:97
  0.17     41.15     0.09   12460801   Vtop  VBlock    IDU:88
  0.17     41.24     0.09   12460801   Vtop  VBlock    GPR:129
  0.17     41.33     0.09   12460801   Vtop  VBlock    EXU:368
  0.17     41.42     0.09   12460801   Vtop  VBlock    IDU:147
  0.17     41.51     0.09   12460801   Vtop  VBlock    ICache:65
  0.17     41.60     0.09   12460800   Vtop  VBlock    div:103
  0.17     41.69     0.09   12460800   Vtop  VBlock    IDU:189
  0.17     41.78     0.09   12460800   Vtop  VBlock    DCache:506
  0.16     41.87     0.09   37382401   Vtop  VBlock    ICache:76
  0.16     41.96     0.09   37382401   Vtop  VBlock    CacheArbiter:66
  0.16     42.05     0.09   12460801   Vtop  VBlock    IDU:76
  0.16     42.14     0.09   12460801   Vtop  VBlock    EXU:361
  0.16     42.23     0.09   12460801   Vtop  VBlock    EXU:227
  0.16     42.32     0.09   12460801   Vtop  VBlock    DCache:214
  0.16     42.41     0.09   12460800   Vtop  VBlock    EXU:383
  0.15     42.49     0.08   37382401   Vtop  VBlock    CLINT:99
  0.15     42.57     0.08   37382401   Vtop  VBlock    DCache:124
  0.15     42.65     0.08   37382401   Vtop  VBlock    DCache:268
  0.15     42.73     0.08   12460801   Vtop  VBlock    IDU:40
  0.15     42.81     0.08   12460801   Vtop  VBlock    EXU:347
  0.15     42.89     0.08   12460801   Vtop  VBlock    EXU:346
  0.15     42.97     0.08   12460801   Vtop  VBlock    IDU:116
  0.15     43.05     0.08   12460801   Vtop  VBlock    top:605
  0.15     43.13     0.08   12460801   Vtop  VBlock    top:582
  0.15     43.21     0.08   12460800   Vtop  VBlock    div:88
  0.15     43.29     0.08   12460800   Vtop  VBlock    WBU:86
  0.15     43.37     0.08   12460800   Vtop  VBlock    WBU:118
  0.15     43.45     0.08   12460800   Vtop  VBlock    IDU:184
  0.15     43.53     0.08   12460800   Vtop  VBlock    AXI4SRAM:133
  0.14     43.60     0.07   24921600   Vtop  VBlock    Crossbar:567
  0.14     43.67     0.07   12460801   Vtop  VBlock    EXU:358
  0.14     43.74     0.07   12460801   Vtop  VBlock    IDU:149
  0.14     43.81     0.07   12460801   Vtop  VBlock    AXI4SRAM:82
  0.13     43.88     0.07   37382401   Vtop  VBlock    top:566
  0.13     43.95     0.07   37382401   Vtop  VBlock    AXI4SRAM:95
  0.13     44.02     0.07   37382401   Vtop  VBlock    Crossbar:565
  0.13     44.09     0.07   24921600   Vtop  VBlock    IFU:51
  0.13     44.16     0.07   24921600   Vtop  VBlock    ICache:99
  0.13     44.23     0.07   24921600   Vtop  VBlock    DCache:226
  0.13     44.30     0.07   12460801   Vtop  VBlock    IDU:37
  0.13     44.37     0.07   12460801   Vtop  VBlock    top:613
  0.13     44.44     0.07   12460801   Vtop  VBlock    EXU:139
  0.13     44.51     0.07   12460801   Vtop  VBlock    CLINT:80
  0.13     44.58     0.07   12460801   Vtop  VBlock    DCache:123
  0.13     44.65     0.07   12460801   Vtop  VBlock    ICache:110
  0.13     44.72     0.07   12460800   Vtop  VBlock    div:93
  0.13     44.79     0.07   12460800   Vtop  VBlock    WBU:98
  0.13     44.86     0.07   12460800   Vtop  VBlock    div:149
  0.13     44.93     0.07   12460800   Vtop  VBlock    EXU:459
  0.13     45.00     0.07   12460800   Vtop  VBlock    WBU:112
  0.13     45.07     0.07   12460800   Vtop  VBlock    EXU:418
  0.13     45.14     0.07   12460800   Vtop  VBlock    DCache:511
  0.12     45.21     0.07   37382401   Vtop  VBlock    DCache:111
  0.12     45.28     0.07   12460801   Vtop  VBlock    Crossbar:569
  0.12     45.35     0.07   12460800   Vtop  VBlock    EXU:378
  0.12     45.42     0.07   12460800   Vtop  VBlock    base_mul:83
  0.12     45.49     0.07   12460799   -     C++       pmem_read
  0.13     45.56     0.07   24921602   Vtop  VBlock    LFSR_8:12
  0.11     45.62     0.06   37382401   Vtop  VBlock    DCache:171
  0.11     45.68     0.06   24921603   -     VLib      VerilatedLockGuard::~VerilatedLockGuard()
  0.11     45.74     0.06   24921600   Vtop  VBlock    LSU:49
  0.11     45.80     0.06   12460801   Vtop  VBlock    div:73
  0.11     45.86     0.06   12460801   Vtop  VBlock    IDU:50
  0.11     45.92     0.06   12460801   Vtop  VBlock    IDU:28
  0.11     45.98     0.06   12460801   Vtop  VBlock    EXU:312
  0.11     46.04     0.06   12460801   Vtop  VBlock    CLINT:55
  0.11     46.10     0.06   12460801   Vtop  VBlock    DCache:208
  0.11     46.16     0.06   12460801   Vtop  VBlock    DCache:125
  0.11     46.22     0.06   12460801   Vtop  VBlock    DCache:135
  0.11     46.28     0.06   12460801   Vtop  VBlock    ICache:106
  0.11     46.34     0.06   12460801   Vtop  VBlock    DCache:140
  0.11     46.40     0.06   12460801   Vtop  VBlock    AXI4SRAM:49
  0.11     46.46     0.06   12460800   Vtop  VBlock    GPR:601
  0.11     46.52     0.06   12460800   Vtop  VBlock    base_mul:78
  0.11     46.58     0.06   12460800   Vtop  VBlock    AXI4SRAM:165
  0.10     46.64     0.06   12460801   Vtop  VBlock    EXU:149
  0.10     46.70     0.06   12460801   Vtop  VBlock    EXU:351
  0.10     46.76     0.06   12460801   Vtop  VBlock    EXU:345
  0.10     46.82     0.06   12460801   Vtop  VBlock    DCache:159
